5
1	4	90.000000	0.000000	90.000000
0.2 0.2 0.2	0.8
0.8 0.2 0.8	0.8
0.2 0.2 0.8	0.2
0.2 0.8 0.8	0.8
2	4	34.000000	56.000000	3.000000
0.0 0.0 0.2 0.2	
0.2 0.2 0.2	0.8
0.2 0.8 0.0	1.0
0.0 0.0 0.0	1.0
3	4	120.000000	34.000000	44.000000
0.0 0.0 0.2 0.2	
0.2 0.2 0.8	0.2
0.8 0.2 1.0 0.0
0.0 0.0 1.0	0.0
4	4	56.000000	90.000000	12.000000
1.0 0.0 1.0	1.0
1.0	1.0 0.8 0.8
0.8 0.8 0.8	0.2
0.8	0.2 1.0	0.0
5	4	58.000000	85.000000	4.000000
0.0 1.0 1.0	1.0
1.0	1.0 0.8 0.8
0.8 0.8 0.2	0.8
0.2	0.8 0.0	1.0

0.000000	0.000000	0.600000	0.300000	0.600000	1.000000
0.600000	0.000000	0.000000	0.600000	0.600000	0.600000
0.600000	0.000000	0.000000	0.000000	0.600000	0.600000
0.600000	0.000000	0.000000	0.000000	0.000000	0.600000
0.600000	0.000000	0.000000	0.000000	0.000000	0.000000

